volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.18,0.5,2,4,0.98,0.6563771390610972,79
0.14,0.65,1,4,0.98,0.6557007564448727,79
0.14,0.65,1,4,0.99,0.6557007564448727,79
0.14,0.65,1,4,0.97,0.6557007564448727,79
0.12,0.65,2,3,0.97,0.6556563031531348,79
0.12,0.65,2,3,0.98,0.6556563031531348,79
0.12,0.65,2,3,0.99,0.6556563031531348,79
0.14,0.55,1,4,0.98,0.6552535722024343,79
0.14,0.55,1,4,0.97,0.6552535722024343,79
0.14,0.55,1,4,0.99,0.6552535722024343,79
0.18,0.55,2,4,0.97,0.6538076642157302,79
0.18,0.55,2,4,0.98,0.6538076642157302,79
0.18,0.55,2,4,0.99,0.6538076642157302,79
0.1,0.6,1,3,0.98,0.6538030631234534,79
0.1,0.6,1,3,0.99,0.6538030631234534,79
0.1,0.6,1,3,0.97,0.6538030631234534,79
0.16,0.65,3,3,0.98,0.6536400796045664,79
0.16,0.65,3,3,0.97,0.6536400796045664,79
0.16,0.65,3,3,0.99,0.6536400796045664,79
0.14,0.7,1,4,0.98,0.6526346475884279,79
0.14,0.7,1,4,0.99,0.6526346475884279,79
0.14,0.7,1,4,0.97,0.6526346475884279,79
0.12,0.6,2,3,0.97,0.6525058386055621,79
0.12,0.6,2,3,0.99,0.6525058386055621,79
0.12,0.6,2,3,0.98,0.6525058386055621,79
0.14,0.5,1,4,0.98,0.6516144442311157,79
0.14,0.5,1,4,0.97,0.6516144442311157,79
0.14,0.5,1,4,0.99,0.6516144442311157,79
0.18,0.6,2,4,0.97,0.6511135484363353,79
0.18,0.6,2,4,0.99,0.6511135484363353,79
0.18,0.6,2,4,0.98,0.6511135484363353,79
0.16,0.7,3,3,0.97,0.6506303936625188,79
0.16,0.7,3,3,0.98,0.6506303936625188,79
0.16,0.7,3,3,0.99,0.6506303936625188,79
0.1,0.55,1,3,0.99,0.6503151165173225,79
0.1,0.55,1,3,0.98,0.6503151165173225,79
0.1,0.55,1,3,0.97,0.6503151165173225,79
0.14,0.6,3,3,0.98,0.6491288896465593,79
0.14,0.6,3,3,0.99,0.6491288896465593,79
0.14,0.6,3,3,0.97,0.6491288896465593,79
0.12,0.55,2,3,0.97,0.6491025341945349,79
0.12,0.55,2,3,0.98,0.6491025341945349,79
0.12,0.55,2,3,0.99,0.6491025341945349,79
0.16,0.5,2,4,0.99,0.6488407068322898,79
0.16,0.5,2,4,0.97,0.6488407068322898,79
0.16,0.5,2,4,0.98,0.6488407068322898,79
0.18,0.65,2,4,0.99,0.648292729626147,79
0.18,0.65,2,4,0.97,0.648292729626147,79
0.18,0.65,2,4,0.98,0.648292729626147,79
0.16,0.55,2,4,0.99,0.6465869110879647,79
0.16,0.55,2,4,0.97,0.6465869110879647,79
0.16,0.55,2,4,0.98,0.6465869110879647,79
0.1,0.5,1,3,0.97,0.6465794288752793,79
0.1,0.5,1,3,0.98,0.6465794288752793,79
