sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
1666.HK,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,50.0
1675.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1681.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
1686.HK,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,25.0
1691.HK,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,25.0
1696.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1709.HK,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0
1713.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
1717.HK,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
1729.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1733.HK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,66.67
1760.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1766.HK,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,16.67
1772.HK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
1773.HK,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
1782.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1788.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1789.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1797.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1798.HK,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,16.67
1799.HK,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,33.33
1800.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0
1809.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
1811.HK,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,25.0
1815.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1836.HK,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,33.33
1837.HK,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0
1848.HK,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
1854.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1857.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
1866.HK,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,66.67
1872.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1873.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1877.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
1883.HK,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,50.0
1890.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1896.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1899.HK,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,40.0
1907.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1910.HK,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,33.33
1921.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1931.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
